,chroma_stft_mean,mel,tone,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,result
20,0.39482266,0.10829112,-0.007423006137901889,-486.5787,158.75156,39.63357,29.618069,19.449152,-5.6421795,-11.913552,1.4966618,-16.15815,-16.952623,-9.763025,-0.12907706,-12.329598,-5.1585493,4.7953205,12.085519,-11.813773,-1.3109939,-0.13844652,-1.0683899,1
21,0.41311526,0.12962238,0.0007738248721710015,-483.4479,166.8454,51.09814,28.015469,29.349354,-5.1639285,-6.7937193,4.016302,-18.182674,-9.196165,-10.094014,2.2581496,-5.2988744,-6.8625913,-2.0984495,12.416516,-11.937441,-0.6076225,3.4067352,-0.16420764,1
22,0.3919926,0.22179535,-0.003620803691244194,-465.14603,176.25714,50.434982,32.766533,19.11355,-10.092122,-3.5704808,2.378406,-18.134909,-6.8121395,-8.790841,-1.6967556,-4.9774203,-5.3256526,-2.0988297,16.094296,-4.277118,-0.24687576,5.309133,7.95661,1
23,0.32592118,0.17806076,0.008324107576566604,-444.6294,171.22583,9.610756,33.262394,4.6804013,-7.7938704,2.7579188,-24.287642,-18.498634,-2.53816,-15.528161,1.7607644,-7.9614286,-10.133047,10.452666,-3.6981854,-3.8504448,5.0326276,-6.648323,-4.2233768,2
24,0.33546942,0.12915973,-0.017881478746988266,-482.01212,173.81151,23.212648,27.22057,8.008299,-10.223303,-4.5245833,-20.576895,-18.51179,-10.470421,-14.188168,3.1396744,-7.448982,-7.599518,6.2256045,3.4491298,1.2740617,-0.21503876,-9.272327,-4.2639084,2
25,0.3522229,0.18956098,0.03658747335920476,-450.90463,173.94226,22.846306,32.468506,4.356781,-13.791911,-1.6916324,-18.33657,-17.151117,-2.7084956,-15.201839,-1.5386808,-5.9027023,-8.262157,9.479527,-2.4648852,-5.060411,7.833087,-4.3491836,-4.113769,2
26,0.37266293,0.1848071,0.027203116010319432,-452.2387,170.53229,14.23691,25.333239,9.78568,-13.409205,-4.56519,-17.180658,-14.588325,-3.4897413,-15.067519,-3.2364266,-5.2674313,-5.049105,8.416242,-0.5162677,-8.099021,1.9900823,-2.7865732,-1.8177459,2
27,0.3197009,0.11731434,-0.02000322979930182,-478.79715,175.29475,23.993631,30.323626,1.2221717,-12.356079,4.2960467,-23.221483,-14.547546,-5.8243217,-16.390924,0.12055575,-7.983934,-7.735068,8.0097685,-1.2187245,-3.2864606,3.0607302,-12.083077,-1.3195446,2
28,0.33747205,0.31590393,-0.007494705457500026,-430.3874,168.39293,20.014153,28.515308,1.8013582,-8.145301,5.938535,-22.48269,-19.782814,-4.549139,-15.707827,-3.1296072,-10.812487,-5.9658995,6.0393343,-5.271586,-1.5091753,0.66297096,-7.4737005,-3.050154,2
29,0.33998162,0.2597969,-0.003386360630025421,-428.08682,168.57709,9.34621,28.477324,2.6014307,-8.440206,6.670246,-21.791168,-14.160944,-3.9376547,-13.277306,1.28871,-7.69453,-2.8919365,9.516877,1.9608793,-0.07923558,-3.165842,-5.776228,0.07747928,2
30,0.28759825,0.20531726,0.01021199271295401,-431.11572,167.36092,14.427448,27.061592,0.28744093,-6.3999257,-4.4563723,-31.140915,-19.383116,-1.5690495,-18.116173,1.2132632,-5.3821173,-9.179976,7.9140415,-0.039696258,2.0926676,4.21591,-6.486802,-0.9788608,2
